-6.000000	-3.000000	4.000000	1.000000	resonant
-6.000000	-3.000000	5.000000	1.000000	resonant
-6.000000	-3.000000	6.000000	1.000000	resonant
-6.000000	-2.000000	-6.000000	1.000000	resonant
-6.000000	-2.000000	-5.000000	1.000000	resonant
-6.000000	-2.000000	-4.000000	1.000000	resonant
-6.000000	-2.000000	-3.000000	1.000000	resonant
-6.000000	-2.000000	-2.000000	1.000000	resonant
-6.000000	-2.000000	-1.000000	1.000000	resonant
-6.000000	-2.000000	0.000000	1.000000	resonant
-6.000000	-2.000000	1.000000	1.000000	resonant
-6.000000	-2.000000	2.000000	1.000000	resonant
-6.000000	-2.000000	3.000000	1.000000	resonant
-6.000000	-2.000000	4.000000	1.000000	resonant
-6.000000	-2.000000	5.000000	1.000000	resonant
-6.000000	-2.000000	6.000000	1.000000	resonant
-6.000000	-1.000000	-6.000000	1.000000	resonant
-6.000000	-1.000000	-5.000000	1.000000	resonant
-6.000000	-1.000000	-4.000000	1.000000	resonant
-6.000000	-1.000000	-3.000000	1.000000	resonant
-6.000000	-1.000000	-2.000000	1.000000	resonant
-6.000000	-1.000000	-1.000000	1.000000	resonant
-6.000000	-1.000000	0.000000	1.000000	resonant
-6.000000	-1.000000	1.000000	1.000000	resonant
-6.000000	-1.000000	2.000000	1.000000	resonant
-6.000000	-1.000000	3.000000	1.000000	resonant
-6.000000	-1.000000	4.000000	1.000000	resonant
-6.000000	-1.000000	5.000000	1.000000	resonant
-6.000000	-1.000000	6.000000	1.000000	resonant
-6.000000	0.000000	-6.000000	1.000000	resonant
-6.000000	0.000000	-5.000000	1.000000	resonant
-6.000000	0.000000	-4.000000	1.000000	resonant
-6.000000	0.000000	-3.000000	1.000000	resonant
-6.000000	0.000000	-2.000000	1.000000	resonant
-6.000000	0.000000	-1.000000	1.000000	resonant
-6.000000	0.000000	0.000000	1.000000	resonant
-6.000000	0.000000	1.000000	1.000000	resonant
-6.000000	0.000000	2.000000	1.000000	resonant
-6.000000	0.000000	3.000000	1.000000	resonant
-6.000000	0.000000	4.000000	1.000000	resonant
-6.000000	0.000000	5.000000	1.000000	resonant
-6.000000	0.000000	6.000000	1.000000	resonant
-6.000000	1.000000	-6.000000	1.000000	resonant
-6.000000	1.000000	-5.000000	1.000000	resonant
-6.000000	1.000000	-4.000000	1.000000	resonant
-6.000000	1.000000	-3.000000	1.000000	resonant
-6.000000	1.000000	-2.000000	1.000000	resonant
-6.000000	1.000000	-1.000000	1.000000	resonant
-6.000000	1.000000	0.000000	1.000000	resonant
-6.000000	1.000000	1.000000	1.000000	resonant
-6.000000	1.000000	2.000000	1.000000	resonant
-6.000000	1.000000	3.000000	1.000000	resonant
-6.000000	1.000000	4.000000	1.000000	resonant
-6.000000	1.000000	5.000000	1.000000	resonant
-6.000000	1.000000	6.000000	1.000000	resonant
-6.000000	2.000000	-6.000000	1.000000	resonant
-6.000000	2.000000	-5.000000	1.000000	resonant
-6.000000	2.000000	-4.000000	1.000000	resonant
-6.000000	2.000000	-3.000000	1.000000	resonant
-6.000000	2.000000	-2.000000	1.000000	resonant
-6.000000	2.000000	-1.000000	1.000000	resonant
-6.000000	2.000000	0.000000	1.000000	resonant
-6.000000	2.000000	1.000000	1.000000	resonant
-6.000000	2.000000	2.000000	1.000000	resonant
-6.000000	2.000000	3.000000	1.000000	resonant
-6.000000	2.000000	4.000000	1.000000	resonant
-6.000000	2.000000	5.000000	1.000000	resonant
-6.000000	2.000000	6.000000	1.000000	resonant
-6.000000	3.000000	-6.000000	1.000000	resonant
-6.000000	3.000000	-5.000000	1.000000	resonant
-6.000000	3.000000	-4.000000	1.000000	resonant
-6.000000	3.000000	-3.000000	1.000000	resonant
-6.000000	3.000000	-2.000000	1.000000	resonant
-6.000000	3.000000	-1.000000	1.000000	resonant
-6.000000	3.000000	0.000000	1.000000	resonant
-6.000000	3.000000	1.000000	1.000000	resonant
-6.000000	3.000000	2.000000	1.000000	resonant
-6.000000	3.000000	3.000000	1.000000	resonant
-6.000000	3.000000	4.000000	1.000000	resonant
-6.000000	3.000000	5.000000	1.000000	resonant
-6.000000	3.000000	6.000000	1.000000	resonant
-6.000000	4.000000	-6.000000	1.000000	resonant
-6.000000	4.000000	-5.000000	1.000000	resonant
-6.000000	4.000000	-4.000000	1.000000	resonant
-6.000000	4.000000	-3.000000	1.000000	resonant
-6.000000	4.000000	-2.000000	1.000000	resonant
-6.000000	4.000000	-1.000000	1.000000	resonant
-6.000000	4.000000	0.000000	1.000000	resonant
-6.000000	4.000000	1.000000	1.000000	resonant
-6.000000	4.000000	2.000000	1.000000	resonant
-6.000000	4.000000	3.000000	1.000000	resonant
-6.000000	4.000000	4.000000	1.000000	resonant
-6.000000	4.000000	5.000000	1.000000	resonant
-6.000000	4.000000	6.000000	1.000000	resonant
-6.000000	5.000000	-6.000000	1.000000	resonant
-6.000000	5.000000	-5.000000	1.000000	resonant
-6.000000	5.000000	-4.000000	1.000000	resonant
-6.000000	5.000000	-3.000000	1.000000	resonant
-6.000000	5.000000	-2.000000	1.000000	resonant
-6.000000	5.000000	-1.000000	1.000000	resonant
-6.000000	5.000000	0.000000	1.000000	resonant
-6.000000	5.000000	1.000000	1.000000	resonant
-6.000000	5.000000	2.000000	1.000000	resonant
-6.000000	5.000000	3.000000	1.000000	resonant
-6.000000	5.000000	4.000000	1.000000	resonant
-6.000000	5.000000	5.000000	1.000000	resonant
-6.000000	5.000000	6.000000	1.000000	resonant
-6.000000	6.000000	-6.000000	1.000000	resonant
-6.000000	6.000000	-5.000000	1.000000	resonant
-6.000000	6.000000	-4.000000	1.000000	resonant
-6.000000	6.000000	-3.000000	1.000000	resonant
-6.000000	6.000000	-2.000000	1.000000	resonant
-6.000000	6.000000	-1.000000	1.000000	resonant
-6.000000	6.000000	0.000000	1.000000	resonant
-6.000000	6.000000	1.000000	1.000000	resonant
-6.000000	6.000000	2.000000	1.000000	resonant
-6.000000	6.000000	3.000000	1.000000	resonant
-6.000000	6.000000	4.000000	1.000000	resonant
-6.000000	6.000000	5.000000	1.000000	resonant
-6.000000	6.000000	6.000000	1.000000	resonant
-5.000000	-6.000000	-6.000000	1.000000	resonant
-5.000000	-6.000000	-5.000000	1.000000	resonant
-5.000000	-6.000000	-4.000000	1.000000	resonant
-5.000000	-6.000000	-3.000000	1.000000	resonant
-5.000000	-6.000000	-2.000000	1.000000	resonant
-5.000000	-6.000000	-1.000000	1.000000	resonant
-5.000000	-6.000000	0.000000	1.000000	resonant
-5.000000	-6.000000	1.000000	1.000000	resonant
-5.000000	-6.000000	2.000000	1.000000	resonant
-5.000000	-6.000000	3.000000	1.000000	resonant
-5.000000	-6.000000	4.000000	1.000000	resonant
-5.000000	-6.000000	5.000000	1.000000	resonant
-5.000000	-6.000000	6.000000	1.000000	resonant
-5.000000	-5.000000	-6.000000	1.000000	resonant
-5.000000	-5.000000	-5.000000	1.000000	resonant
-5.000000	-5.000000	-4.000000	1.000000	resonant
-5.000000	-5.000000	-3.000000	1.000000	resonant
-5.000000	-5.000000	-2.000000	1.000000	resonant
-5.000000	-5.000000	-1.000000	1.000000	resonant
-5.000000	-5.000000	0.000000	1.000000	resonant
-5.000000	-5.000000	1.000000	1.000000	resonant
-5.000000	-5.000000	2.000000	1.000000	resonant
-5.000000	-5.000000	3.000000	1.000000	resonant
-5.000000	-5.000000	4.000000	1.000000	resonant
-5.000000	-5.000000	5.000000	1.000000	resonant
-5.000000	-5.000000	6.000000	1.000000	resonant
-5.000000	-4.000000	-6.000000	1.000000	resonant
-5.000000	-4.000000	-5.000000	1.000000	resonant
-5.000000	-4.000000	-4.000000	1.000000	resonant
-5.000000	-4.000000	-3.000000	1.000000	resonant
-5.000000	-4.000000	-2.000000	1.000000	resonant
-5.000000	-4.000000	-1.000000	1.000000	resonant
-5.000000	-4.000000	0.000000	1.000000	resonant
-5.000000	-4.000000	1.000000	1.000000	resonant
-5.000000	-4.000000	2.000000	1.000000	resonant
-5.000000	-4.000000	3.000000	1.000000	resonant
-5.000000	-4.000000	4.000000	1.000000	resonant
-5.000000	-4.000000	5.000000	1.000000	resonant
-5.000000	-4.000000	6.000000	1.000000	resonant
-5.000000	-3.000000	-6.000000	1.000000	resonant
-5.000000	-3.000000	-5.000000	1.000000	resonant
-5.000000	-3.000000	-4.000000	1.000000	resonant
-5.000000	-3.000000	-3.000000	1.000000	resonant
-5.000000	-3.000000	-2.000000	1.000000	resonant
-5.000000	-3.000000	-1.000000	1.000000	resonant
-5.000000	-3.000000	0.000000	1.000000	resonant
-5.000000	-3.000000	1.000000	1.000000	resonant
-5.000000	-3.000000	2.000000	1.000000	resonant
-5.000000	-3.000000	3.000000	1.000000	resonant
-5.000000	-3.000000	4.000000	1.000000	resonant
-5.000000	-3.000000	5.000000	1.000000	resonant
-5.000000	-3.000000	6.000000	1.000000	resonant
-5.000000	-2.000000	-6.000000	1.000000	resonant
-5.000000	-2.000000	-5.000000	1.000000	resonant
-5.000000	-2.000000	-4.000000	1.000000	resonant
-5.000000	-2.000000	-3.000000	1.000000	resonant
-5.000000	-2.000000	-2.000000	1.000000	resonant
-5.000000	-2.000000	-1.000000	1.000000	resonant
-5.000000	-2.000000	0.000000	1.000000	resonant
-5.000000	-2.000000	1.000000	1.000000	resonant
-5.000000	-2.000000	2.000000	1.000000	resonant
-5.000000	-2.000000	3.000000	1.000000	resonant
-5.000000	-2.000000	4.000000	1.000000	resonant
-5.000000	-2.000000	5.000000	1.000000	resonant
-5.000000	-2.000000	6.000000	1.000000	resonant
-5.000000	-1.000000	-6.000000	1.000000	resonant
-5.000000	-1.000000	-5.000000	1.000000	resonant
-5.000000	-1.000000	-4.000000	1.000000	resonant
-5.000000	-1.000000	-3.000000	1.000000	resonant
-5.000000	-1.000000	-2.000000	1.000000	resonant
-5.000000	-1.000000	-1.000000	1.000000	resonant
-5.000000	-1.000000	0.000000	1.000000	resonant
-5.000000	-1.000000	1.000000	1.000000	resonant
-5.000000	-1.000000	2.000000	1.000000	resonant
-5.000000	-1.000000	3.000000	1.000000	resonant
-5.000000	-1.000000	4.000000	1.000000	resonant
-5.000000	-1.000000	5.000000	1.000000	resonant
-5.000000	-1.000000	6.000000	1.000000	resonant
-5.000000	0.000000	-6.000000	1.000000	resonant
-5.000000	0.000000	-5.000000	1.000000	resonant
-5.000000	0.000000	-4.000000	1.000000	resonant
-5.000000	0.000000	-3.000000	1.000000	resonant
-5.000000	0.000000	-2.000000	1.000000	resonant
-5.000000	0.000000	-1.000000	1.000000	resonant
-5.000000	0.000000	0.000000	1.000000	resonant
-5.000000	0.000000	1.000000	1.000000	resonant
-5.000000	0.000000	2.000000	1.000000	resonant
-5.000000	0.000000	3.000000	1.000000	resonant
-5.000000	0.000000	4.000000	1.000000	resonant
-5.000000	0.000000	5.000000	1.000000	resonant
-5.000000	0.000000	6.000000	1.000000	resonant
-5.000000	1.000000	-6.000000	1.000000	resonant
-5.000000	1.000000	-5.000000	1.000000	resonant
-5.000000	1.000000	-4.000000	1.000000	resonant
-5.000000	1.000000	-3.000000	1.000000	resonant
-5.000000	1.000000	-2.000000	1.000000	resonant
-5.000000	1.000000	-1.000000	1.000000	resonant
-5.000000	1.000000	0.000000	1.000000	resonant
-5.000000	1.000000	1.000000	1.000000	resonant
-5.000000	1.000000	2.000000	1.000000	resonant
-5.000000	1.000000	3.000000	1.000000	resonant
-5.000000	1.000000	4.000000	1.000000	resonant
-5.000000	1.000000	5.000000	1.000000	resonant
-5.000000	1.000000	6.000000	1.000000	resonant
-5.000000	2.000000	-6.000000	1.000000	resonant
-5.000000	2.000000	-5.000000	1.000000	resonant
-5.000000	2.000000	-4.000000	1.000000	resonant
-5.000000	2.000000	-3.000000	1.000000	resonant
-5.000000	2.000000	-2.000000	1.000000	resonant
-5.000000	2.000000	-1.000000	1.000000	resonant
-5.000000	2.000000	0.000000	1.000000	resonant
-5.000000	2.000000	1.000000	1.000000	resonant
-5.000000	2.000000	2.000000	1.000000	resonant
-5.000000	2.000000	3.000000	1.000000	resonant
-5.000000	2.000000	4.000000	1.000000	resonant
-5.000000	2.000000	5.000000	1.000000	resonant
-5.000000	2.000000	6.000000	1.000000	resonant
-5.000000	3.000000	-6.000000	1.000000	resonant
-5.000000	3.000000	-5.000000	1.000000	resonant
-5.000000	3.000000	-4.000000	1.000000	resonant
-5.000000	3.000000	-3.000000	1.000000	resonant
-5.000000	3.000000	-2.000000	1.000000	resonant
-5.000000	3.000000	-1.000000	1.000000	resonant
-5.000000	3.000000	0.000000	1.000000	resonant
-5.000000	3.000000	1.000000	1.000000	resonant
-5.000000	3.000000	2.000000	1.000000	resonant
-5.000000	3.000000	3.000000	1.000000	resonant
-5.000000	3.000000	4.000000	1.000000	resonant
-5.000000	3.000000	5.000000	1.000000	resonant
-5.000000	3.000000	6.000000	1.000000	resonant
-5.000000	4.000000	-6.000000	1.000000	resonant
-5.000000	4.000000	-5.000000	1.000000	resonant
-5.000000	4.000000	-4.000000	1.000000	resonant
-5.000000	4.000000	-3.000000	1.000000	resonant
-5.000000	4.000000	-2.000000	1.000000	resonant
-5.000000	4.000000	-1.000000	1.000000	resonant
-5.000000	4.000000	0.000000	1.000000	resonant
-5.000000	4.000000	1.000000	1.000000	resonant
-5.000000	4.000000	2.000000	1.000000	resonant
-5.000000	4.000000	3.000000	1.000000	resonant
-5.000000	4.000000	4.000000	1.000000	resonant
-5.000000	4.000000	5.000000	1.000000	resonant
-5.000000	4.000000	6.000000	1.000000	resonant
-5.000000	5.000000	-6.000000	1.000000	resonant
-5.000000	5.000000	-5.000000	1.000000	resonant
-5.000000	5.000000	-4.000000	1.000000	resonant
-5.000000	5.000000	-3.000000	1.000000	resonant
-5.000000	5.000000	-2.000000	1.000000	resonant
-5.000000	5.000000	-1.000000	1.000000	resonant
-5.000000	5.000000	0.000000	1.000000	resonant
-5.000000	5.000000	1.000000	1.000000	resonant
-5.000000	5.000000	2.000000	1.000000	resonant
-5.000000	5.000000	3.000000	1.000000	resonant
-5.000000	5.000000	4.000000	1.000000	resonant
-5.000000	5.000000	5.000000	1.000000	resonant
-5.000000	5.000000	6.000000	1.000000	resonant
-5.000000	6.000000	-6.000000	1.000000	resonant
-5.000000	6.000000	-5.000000	1.000000	resonant
-5.000000	6.000000	-4.000000	1.000000	resonant
-5.000000	6.000000	-3.000000	1.000000	resonant
-5.000000	6.000000	-2.000000	1.000000	resonant
-5.000000	6.000000	-1.000000	1.000000	resonant
-5.000000	6.000000	0.000000	1.000000	resonant
-5.000000	6.000000	1.000000	1.000000	resonant
-5.000000	6.000000	2.000000	1.000000	resonant
-5.000000	6.000000	3.000000	1.000000	resonant
-5.000000	6.000000	4.000000	1.000000	resonant
-5.000000	6.000000	5.000000	1.000000	resonant
-5.000000	6.000000	6.000000	1.000000	resonant
-4.000000	-6.000000	-6.000000	1.000000	resonant
-4.000000	-6.000000	-5.000000	1.000000	resonant
-4.000000	-6.000000	-4.000000	1.000000	resonant
-4.000000	-6.000000	-3.000000	1.000000	resonant
-4.000000	-6.000000	-2.000000	1.000000	resonant
-4.000000	-6.000000	-1.000000	1.000000	resonant
-4.000000	-6.000000	0.000000	1.000000	resonant
-4.000000	-6.000000	1.000000	1.000000	resonant
-4.000000	-6.000000	2.000000	1.000000	resonant
-4.000000	-6.000000	3.000000	1.000000	resonant
-4.000000	-6.000000	4.000000	1.000000	resonant
-4.000000	-6.000000	5.000000	1.000000	resonant
-4.000000	-6.000000	6.000000	1.000000	resonant
-4.000000	-5.000000	-6.000000	1.000000	resonant
-4.000000	-5.000000	-5.000000	1.000000	resonant
-4.000000	-5.000000	-4.000000	1.000000	resonant
-4.000000	-5.000000	-3.000000	1.000000	resonant
-4.000000	-5.000000	-2.000000	1.000000	resonant
-4.000000	-5.000000	-1.000000	1.000000	resonant
-4.000000	-5.000000	0.000000	1.000000	resonant
-4.000000	-5.000000	1.000000	1.000000	resonant
-4.000000	-5.000000	2.000000	1.000000	resonant
-4.000000	-5.000000	3.000000	1.000000	resonant
-4.000000	-5.000000	4.000000	1.000000	resonant
-4.000000	-5.000000	5.000000	1.000000	resonant
-4.000000	-5.000000	6.000000	1.000000	resonant
-4.000000	-4.000000	-6.000000	1.000000	resonant
-4.000000	-4.000000	-5.000000	1.000000	resonant
-4.000000	-4.000000	-4.000000	1.000000	resonant
-4.000000	-4.000000	-3.000000	1.000000	resonant
-4.000000	-4.000000	-2.000000	1.000000	resonant
-4.000000	-4.000000	-1.000000	1.000000	resonant
-4.000000	-4.000000	0.000000	1.000000	resonant
-4.000000	-4.000000	1.000000	1.000000	resonant
-4.000000	-4.000000	2.000000	1.000000	resonant
-4.000000	-4.000000	3.000000	1.000000	resonant
-4.000000	-4.000000	4.000000	1.000000	resonant
-4.000000	-4.000000	5.000000	1.000000	resonant
-4.000000	-4.000000	6.000000	1.000000	resonant
-4.000000	-3.000000	-6.000000	1.000000	resonant
-4.000000	-3.000000	-5.000000	1.000000	resonant
-4.000000	-3.000000	-4.000000	1.000000	resonant
-4.000000	-3.000000	-3.000000	1.000000	resonant
-4.000000	-3.000000	-2.000000	1.000000	resonant
-4.000000	-3.000000	-1.000000	1.000000	resonant
-4.000000	-3.000000	0.000000	1.000000	resonant
-4.000000	-3.000000	1.000000	1.000000	resonant
-4.000000	-3.000000	2.000000	1.000000	resonant
-4.000000	-3.000000	3.000000	1.000000	resonant
-4.000000	-3.000000	4.000000	1.000000	resonant
-4.000000	-3.000000	5.000000	1.000000	resonant
-4.000000	-3.000000	6.000000	1.000000	resonant
-4.000000	-2.000000	-6.000000	1.000000	resonant
-4.000000	-2.000000	-5.000000	1.000000	resonant
-4.000000	-2.000000	-4.000000	1.000000	resonant
-4.000000	-2.000000	-3.000000	1.000000	resonant
-4.000000	-2.000000	-2.000000	1.000000	resonant
-4.000000	-2.000000	-1.000000	1.000000	resonant
-4.000000	-2.000000	0.000000	1.000000	resonant
-4.000000	-2.000000	1.000000	1.000000	resonant
-4.000000	-2.000000	2.000000	1.000000	resonant
-4.000000	-2.000000	3.000000	1.000000	resonant
-4.000000	-2.000000	4.000000	1.000000	resonant
-4.000000	-2.000000	5.000000	1.000000	resonant
-4.000000	-2.000000	6.000000	1.000000	resonant
-4.000000	-1.000000	-6.000000	1.000000	resonant
-4.000000	-1.000000	-5.000000	1.000000	resonant
-4.000000	-1.000000	-4.000000	1.000000	resonant
-4.000000	-1.000000	-3.000000	1.000000	resonant
-4.000000	-1.000000	-2.000000	1.000000	resonant
-4.000000	-1.000000	-1.000000	1.000000	resonant
-4.000000	-1.000000	0.000000	1.000000	resonant
-4.000000	-1.000000	1.000000	1.000000	resonant
-4.000000	-1.000000	2.000000	1.000000	resonant
-4.000000	-1.000000	3.000000	1.000000	resonant
-4.000000	-1.000000	4.000000	1.000000	resonant
-4.000000	-1.000000	5.000000	1.000000	resonant
-4.000000	-1.000000	6.000000	1.000000	resonant
-4.000000	0.000000	-6.000000	1.000000	resonant
-4.000000	0.000000	-5.000000	1.000000	resonant
-4.000000	0.000000	-4.000000	1.000000	resonant
-4.000000	0.000000	-3.000000	1.000000	resonant
-4.000000	0.000000	-2.000000	1.000000	resonant
-4.000000	0.000000	-1.000000	1.000000	resonant
-4.000000	0.000000	0.000000	1.000000	resonant
-4.000000	0.000000	1.000000	1.000000	resonant
-4.000000	0.000000	2.000000	1.000000	resonant
-4.000000	0.000000	3.000000	1.000000	resonant
-4.000000	0.000000	4.000000	1.000000	resonant
-4.000000	0.000000	5.000000	1.000000	resonant
-4.000000	0.000000	6.000000	1.000000	resonant
-4.000000	1.000000	-6.000000	1.000000	resonant
-4.000000	1.000000	-5.000000	1.000000	resonant
-4.000000	1.000000	-4.000000	1.000000	resonant
-4.000000	1.000000	-3.000000	1.000000	resonant
-4.000000	1.000000	-2.000000	1.000000	resonant
-4.000000	1.000000	-1.000000	1.000000	resonant
-4.000000	1.000000	0.000000	1.000000	resonant
-4.000000	1.000000	1.000000	1.000000	resonant
-4.000000	1.000000	2.000000	1.000000	resonant
-4.000000	1.000000	3.000000	1.000000	resonant
-4.000000	1.000000	4.000000	1.000000	resonant
-4.000000	1.000000	5.000000	1.000000	resonant
-4.000000	1.000000	6.000000	1.000000	resonant
-4.000000	2.000000	-6.000000	1.000000	resonant
-4.000000	2.000000	-5.000000	1.000000	resonant
-4.000000	2.000000	-4.000000	1.000000	resonant
-4.000000	2.000000	-3.000000	1.000000	resonant
-4.000000	2.000000	-2.000000	1.000000	resonant
-4.000000	2.000000	-1.000000	1.000000	resonant
-4.000000	2.000000	0.000000	1.000000	resonant
-4.000000	2.000000	1.000000	1.000000	resonant
-4.000000	2.000000	2.000000	1.000000	resonant
-4.000000	2.000000	3.000000	1.000000	resonant
-4.000000	2.000000	4.000000	1.000000	resonant
-4.000000	2.000000	5.000000	1.000000	resonant
-4.000000	2.000000	6.000000	1.000000	resonant
-4.000000	3.000000	-6.000000	1.000000	resonant
-4.000000	3.000000	-5.000000	1.000000	resonant
-4.000000	3.000000	-4.000000	1.000000	resonant
-4.000000	3.000000	-3.000000	1.000000	resonant
-4.000000	3.000000	-2.000000	1.000000	resonant
-4.000000	3.000000	-1.000000	1.000000	resonant
-4.000000	3.000000	0.000000	1.000000	resonant
-4.000000	3.000000	1.000000	1.000000	resonant
-4.000000	3.000000	2.000000	1.000000	resonant
-4.000000	3.000000	3.000000	1.000000	resonant
-4.000000	3.000000	4.000000	1.000000	resonant
-4.000000	3.000000	5.000000	1.000000	resonant
-4.000000	3.000000	6.000000	1.000000	resonant
-4.000000	4.000000	-6.000000	1.000000	resonant
-4.000000	4.000000	-5.000000	1.000000	resonant
-4.000000	4.000000	-4.000000	1.000000	resonant
-4.000000	4.000000	-3.000000	1.000000	resonant
-4.000000	4.000000	-2.000000	1.000000	resonant
-4.000000	4.000000	-1.000000	1.000000	resonant
-4.000000	4.000000	0.000000	1.000000	resonant
-4.000000	4.000000	1.000000	1.000000	resonant
-4.000000	4.000000	2.000000	1.000000	resonant
-4.000000	4.000000	3.000000	1.000000	resonant
-4.000000	4.000000	4.000000	1.000000	resonant
-4.000000	4.000000	5.000000	1.000000	resonant
-4.000000	4.000000	6.000000	1.000000	resonant
-4.000000	5.000000	-6.000000	1.000000	resonant
-4.000000	5.000000	-5.000000	1.000000	resonant
-4.000000	5.000000	-4.000000	1.000000	resonant
-4.000000	5.000000	-3.000000	1.000000	resonant
-4.000000	5.000000	-2.000000	1.000000	resonant
-4.000000	5.000000	-1.000000	1.000000	resonant
-4.000000	5.000000	0.000000	1.000000	resonant
-4.000000	5.000000	1.000000	1.000000	resonant
-4.000000	5.000000	2.000000	1.000000	resonant
-4.000000	5.000000	3.000000	1.000000	resonant
-4.000000	5.000000	4.000000	1.000000	resonant
-4.000000	5.000000	5.000000	1.000000	resonant
-4.000000	5.000000	6.000000	1.000000	resonant
-4.000000	6.000000	-6.000000	1.000000	resonant
-4.000000	6.000000	-5.000000	1.000000	resonant
-4.000000	6.000000	-4.000000	1.000000	resonant
-4.000000	6.000000	-3.000000	1.000000	resonant
-4.000000	6.000000	-2.000000	1.000000	resonant
-4.000000	6.000000	-1.000000	1.000000	resonant
-4.000000	6.000000	0.000000	1.000000	resonant
-4.000000	6.000000	1.000000	1.000000	resonant
-4.000000	6.000000	2.000000	1.000000	resonant
-4.000000	6.000000	3.000000	1.000000	resonant
-4.000000	6.000000	4.000000	1.000000	resonant
-4.000000	6.000000	5.000000	1.000000	resonant
-4.000000	6.000000	6.000000	1.000000	resonant
-3.000000	-6.000000	-6.000000	1.000000	resonant
-3.000000	-6.000000	-5.000000	1.000000	resonant
-3.000000	-6.000000	-4.000000	1.000000	resonant
-3.000000	-6.000000	-3.000000	1.000000	resonant
-3.000000	-6.000000	-2.000000	1.000000	resonant
-3.000000	-6.000000	-1.000000	1.000000	resonant
-3.000000	-6.000000	0.000000	1.000000	resonant
-3.000000	-6.000000	1.000000	1.000000	resonant
-3.000000	-6.000000	2.000000	1.000000	resonant
-3.000000	-6.000000	3.000000	1.000000	resonant
-3.000000	-6.000000	4.000000	1.000000	resonant
-3.000000	-6.000000	5.000000	1.000000	resonant
-3.000000	-6.000000	6.000000	1.000000	resonant
-3.000000	-5.000000	-6.000000	1.000000	resonant
-3.000000	-5.000000	-5.000000	1.000000	resonant
-3.000000	-5.000000	-4.000000	1.000000	resonant
-3.000000	-5.000000	-3.000000	1.000000	resonant
-3.000000	-5.000000	-2.000000	1.000000	resonant
-3.000000	-5.000000	-1.000000	1.000000	resonant
-3.000000	-5.000000	0.000000	1.000000	resonant
-3.000000	-5.000000	1.000000	1.000000	resonant
-3.000000	-5.000000	2.000000	1.000000	resonant
-3.000000	-5.000000	3.000000	1.000000	resonant
-3.000000	-5.000000	4.000000	1.000000	resonant
-3.000000	-5.000000	5.000000	1.000000	resonant
-3.000000	-5.000000	6.000000	1.000000	resonant
-3.000000	-4.000000	-6.000000	1.000000	resonant
-3.000000	-4.000000	-5.000000	1.000000	resonant
-3.000000	-4.000000	-4.000000	1.000000	resonant
-3.000000	-4.000000	-3.000000	1.000000	resonant
-3.000000	-4.000000	-2.000000	1.000000	resonant
-3.000000	-4.000000	-1.000000	1.000000	resonant
